read config: config_product.yaml
config = {
	"app": {
		"env": "local",
		"port": "8080",
		"app_name": "gin-app",
		"app_url": "http://localhost"
	},
	"log": {
		"level": "info",
		"root_dir": "./storage/logs",
		"filename": "run.log",
		"format": "console",
		"show_line": true,
		"max_backups": 10,
		"max_size": 100,
		"max_age": 28,
		"compress": true
	},
	"database": {
		"driver": "mysql",
		"host": "127.0.0.1",
		"port": 3306,
		"database": "polis",
		"username": "root",
		"password": "root",
		"charset": "utf8mb4",
		"max_idle_conns": 10,
		"max_open_conns": 100,
		"log_mode": "info",
		"enable_file_log_writer": true,
		"log_filename": "sql.log"
	},
	"jwt": {
		"secret": "3Bde3BGEbYqtqyEUzW3ry8jKFcaPH17fRmTmqE7MDr05Lwj95uruRKrrkb44TJ4s",
		"jwt_ttl": 259200,
		"jwt_blacklist_grace_period": 10,
		"refresh_grace_period": 43200
	},
	"redis": {
		"host": "127.0.0.1",
		"port": 6379,
		"db": 0,
		"password": ""
	}
}
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /ping                     --> github.com/oasis/game_boat/biz/handlers.Ping (6 handlers)
[GIN-debug] POST   /get/user/followers       --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserFollowerList (6 handlers)
[GIN-debug] POST   /get/user/follows         --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserFollowList (6 handlers)
[GIN-debug] POST   /get/user/relation_count  --> github.com/oasis/game_boat/biz/handlers/get/user.GetRelationCount (6 handlers)
[GIN-debug] GET    /get/user/game            --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserGame (6 handlers)
[GIN-debug] GET    /get/user/game_count      --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserGameCount (6 handlers)
[GIN-debug] GET    /get/game/tag_list        --> github.com/oasis/game_boat/biz/handlers/get/game.GetTagList (6 handlers)
[GIN-debug] POST   /get/game/in_tag          --> github.com/oasis/game_boat/biz/handlers/get/game.GetGameInTag (6 handlers)
[GIN-debug] GET    /get/game/three_list      --> github.com/oasis/game_boat/biz/handlers/get/game.GetGameThreeList (6 handlers)
[GIN-debug] GET    /get/article/detail       --> github.com/oasis/game_boat/middle_ware.CheckRequestId.func1 (5 handlers)
[GIN-debug] POST   /get/community            --> github.com/oasis/game_boat/biz/handlers/get.ListCommunity (6 handlers)
[GIN-debug] POST   /get/main_page            --> github.com/oasis/game_boat/biz/handlers/get.ListMainPage (6 handlers)
[GIN-debug] POST   /action/game              --> github.com/oasis/game_boat/biz/handlers/action.GameAction (7 handlers)
[GIN-debug] POST   /update/user/relation     --> github.com/oasis/game_boat/biz/handlers/update/user.PeopleRelate (7 handlers)
[GIN-debug] POST   /update/user/info         --> github.com/oasis/game_boat/biz/handlers/update/user.UpdateUserInfo (7 handlers)
[GIN-debug] POST   /register                 --> github.com/oasis/game_boat/biz/handlers.Register (6 handlers)
[GIN-debug] POST   /login                    --> github.com/oasis/game_boat/biz/handlers.Login (6 handlers)
[GIN-debug] POST   /logout                   --> github.com/oasis/game_boat/biz/handlers.Logout (8 handlers)
[GIN-debug] GET    /token_check              --> github.com/oasis/game_boat/biz/handlers.CheckToken (7 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/04/09 - 16:24:10 | 404 |       9.651µs |   60.13.138.170 | HEAD     "/"
[GIN] 2022/04/09 - 16:29:26 | 200 |     2.11689ms |  220.243.131.85 | GET      "/token_check?id=16"
[GIN] 2022/04/09 - 16:29:27 | 200 |   80.231059ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:29:28 | 200 |    2.112451ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:29:28 | 200 |    1.651942ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:29:28 | 204 |      49.497µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:29:28 | 204 |      24.204µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:29:28 | 200 |    2.043418ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:29:28 | 200 |   83.317034ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:29:28 | 204 |       9.596µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:29:28 | 204 |       6.645µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:29:28 | 200 |     1.03302ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:29:28 | 200 |    1.003487ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:34:35 | 200 |    1.203139ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:34:35 | 200 |   106.29346ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:34:36 | 204 |      22.224µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:34:36 | 204 |      27.657µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:34:36 | 200 |    1.257326ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:34:36 | 200 |   84.753062ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:34:36 | 204 |       9.373µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:34:36 | 204 |       6.895µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:34:36 | 200 |    1.071405ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:34:36 | 200 |     975.762µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:34:37 | 200 |     949.935µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:34:37 | 200 |     788.839µs |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:35:02 | 204 |      57.257µs |  220.243.131.85 | OPTIONS  "/get/game/in_tag?id=16"
[GIN] 2022/04/09 - 16:35:02 | 200 |    2.218517ms |  220.243.131.85 | POST     "/get/game/in_tag?id=16"
[GIN] 2022/04/09 - 16:35:32 | 204 |       9.111µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:35:32 | 204 |        6.84µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
